row_id	standard_anchor	status
BACNET-10-PTP	Clause 10	unknown-pending-source-review
BACNET-11-LONTALK	Clause 11	unknown-pending-source-review
BACNET-12-OBJECT-MODEL	Clauses 12-19	implementation-present-needs-conformance-tests
BACNET-13-COV-SUBSCRIPTIONS	Clauses 13.14-13.18	implementation-present-needs-conformance-tests
BACNET-20-ENCODING	Clause 20	implementation-present-needs-negative-tests
BACNET-21-FORMAL-APDUS	Clause 21	implementation-present-needs-conformance-tests
BACNET-4-ARCHITECTURE	Clause 4	implementation-present-needs-source-review
BACNET-5-SEGMENTATION-WINDOW	Clauses 5.2-5.4	implementation-present-needs-window-tests
BACNET-5-TSM-CLIENT	Clause 5.4.4	implementation-present-needs-state-machine-audit
BACNET-5-TSM-SERVER	Clause 5.4.5	implementation-present-needs-state-machine-audit
BACNET-6-NPDU-CONTROL	Clause 6.2	implementation-present-needs-negative-tests
BACNET-6-ROUTER-MESSAGES	Clauses 6.4-6.6	implementation-present-needs-conformance-tests
BACNET-7-ETHERNET-LLC	Clause 7	implementation-present-needs-platform-tests
BACNET-8-ARCNET	Clause 8	unknown-pending-source-review
BACNET-9-MSTP-FRAMES	Clause 9.3	implementation-present-needs-source-review
BACNET-A-PICS	Annex A	in-progress
BACNET-AB-SC-BVLC-RESULT	Annex AB.2.4	implementation-present-needs-conformance-tests
BACNET-AB-SC-CONNECTION-STATE	Annex AB.6.2	implementation-present-needs-state-machine-audit
BACNET-AB-SC-DATA-ATTRIBUTES	Annex AB.3.4	implementation-present-needs-conformance-tests
BACNET-AB-SC-FRAME	Annex AB.2	implementation-present-needs-negative-tests
BACNET-AB-SC-HEARTBEAT	Annex AB.6.3	implementation-present-needs-timeout-tests
BACNET-AB-SC-HUB-CONNECTOR	Annex AB.5	supported-with-clause-evidence
BACNET-AB-SC-WEBSOCKET-TLS	Annex AB.7	implementation-present-needs-security-tests
BACNET-J-BBMD-BDT	Annex J.4/J.5	implementation-present-needs-conformance-tests
BACNET-J-BVLC-FUNCTION-CODES	Annex J.2	implementation-present-needs-conformance-tests
BACNET-J-FOREIGN-DEVICE-FDT	Annex J.5	implementation-present-needs-conformance-tests
BACNET-J-FORWARDED-NPDU	Annex J	implementation-present-needs-negative-tests
BACNET-J-IP-MULTICAST	Annex J.8	deferred-pending-owner-decision
BACNET-J-NAT-TRAVERSAL	Annex J.7.5	deferred-pending-owner-decision
BACNET-J-ORIGINAL-BROADCAST-NPDU	Annex J	implementation-present-needs-negative-tests
BACNET-J-ORIGINAL-UNICAST-NPDU	Annex J	implementation-present-needs-negative-tests
BACNET-K-BIBBS	Annex K	in-progress
BACNET-L-PROFILES	Annex L	in-progress
BACNET-O-ZIGBEE	Annex O	unknown-pending-source-review
BACNET-U-IPV6-BVLL	Annex U	implementation-present-needs-conformance-tests
